city,location,price,bedrooms,baths,size,price_lakh,size_marla,price_per_sqft,bedroom_group,price_band
Lahore,"Askari 10 - Sector E, Askari 10",44000000,4,5,2250.0,440.0,10.0,19555.555555555555,4,2.5 â€“ 5 Cr
Lahore,"Bedian Road, Lahore",7900000,2,2,855.0,79.0,3.8,9239.766081871345,2,50L â€“ 2.5 Cr
Lahore,"Park Avenue Housing Scheme, Lahore",3744000,0,1,292.0,37.44,1.2977777777777777,12821.917808219177,0 (Plot),< 50 Lakh
Lahore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",52000000,4,5,2475.0,520.0,11.0,21010.10101010101,4,5 â€“ 10 Cr
Lahore,"DHA Phase 7, DHA Defence",68500000,5,6,4500.0,685.0,20.0,15222.222222222223,5,5 â€“ 10 Cr
Lahore,"Park Avenue Housing Scheme, Lahore",6290000,2,2,1125.0,62.9,5.0,5591.111111111111,2,50L â€“ 2.5 Cr
Lahore,"SA Gardens Phase 2, SA Gardens",17500000,5,5,1800.0,175.0,8.0,9722.222222222223,5,50L â€“ 2.5 Cr
Lahore,"Park View City - Tulip Block, Park View City",17000000,3,3,1125.0,170.0,5.0,15111.111111111111,3,50L â€“ 2.5 Cr
Lahore,"Park View City - Tulip Overseas, Park View City",16200000,4,5,1125.0,162.0,5.0,14400.0,4,50L â€“ 2.5 Cr
Lahore,"Park View City - Tulip Block, Park View City",23000000,4,5,1350.0,230.0,6.0,17037.037037037036,4,50L â€“ 2.5 Cr
Lahore,"Park View City - Tulip Block, Park View City",15500000,4,4,1125.0,155.0,5.0,13777.777777777777,4,50L â€“ 2.5 Cr
Lahore,"PIA Housing Scheme, Lahore",36000000,5,5,2250.0,360.0,10.0,16000.0,5,2.5 â€“ 5 Cr
Lahore,"Johar Town, Lahore",19000000,5,5,1125.0,190.0,5.0,16888.88888888889,5,50L â€“ 2.5 Cr
Lahore,"State Life Housing Phase 1, State Life Housing Society",41000000,5,6,4500.0,410.0,20.0,9111.111111111111,5,2.5 â€“ 5 Cr
Lahore,"Valencia Housing Society, Lahore",39000000,0,0,2250.0,390.0,10.0,17333.333333333332,0 (Plot),2.5 â€“ 5 Cr
Lahore,"Bahria Town - Block BB, Bahria Town - Sector D",17500000,3,4,1125.0,175.0,5.0,15555.555555555555,3,50L â€“ 2.5 Cr
Lahore,"Bahria Town - Overseas B, Bahria Town - Overseas Enclave",43000000,5,5,2250.0,430.0,10.0,19111.11111111111,5,2.5 â€“ 5 Cr
